|Timestamp|Key|Action
0|2021-11-24 19:16:32,637|Key.enter|release
1|2021-11-24 19:16:37,882|Key.shift|press
2|2021-11-24 19:16:37,975|'P'|press
3|2021-11-24 19:16:38,077|'P'|release
4|2021-11-24 19:16:38,108|Key.shift|release
5|2021-11-24 19:16:38,718|'o'|press
6|2021-11-24 19:16:38,822|'o'|release
7|2021-11-24 19:16:38,842|'r'|press
8|2021-11-24 19:16:38,913|'r'|release
9|2021-11-24 19:16:39,002|'t'|press
10|2021-11-24 19:16:39,104|'t'|release
11|2021-11-24 19:16:39,367|'e'|press
12|2021-11-24 19:16:39,457|'z'|press
13|2021-11-24 19:16:39,488|'e'|release
14|2021-11-24 19:16:39,528|'z'|release
15|2021-11-24 19:16:39,659|Key.space|press
16|2021-11-24 19:16:39,750|Key.space|release
17|2021-11-24 19:16:39,781|'c'|press
18|2021-11-24 19:16:39,852|'e'|press
19|2021-11-24 19:16:39,882|'c'|release
20|2021-11-24 19:16:39,886|Key.space|press
21|2021-11-24 19:16:39,903|'e'|release
22|2021-11-24 19:16:39,993|Key.space|release
23|2021-11-24 19:16:40,033|'v'|press
24|2021-11-24 19:16:40,114|'v'|release
25|2021-11-24 19:16:40,143|'i'|press
26|2021-11-24 19:16:40,214|'e'|press
27|2021-11-24 19:16:40,235|'i'|release
28|2021-11-24 19:16:40,317|'e'|release
29|2021-11-24 19:16:40,320|'u'|press
30|2021-11-24 19:16:40,417|'x'|press
31|2021-11-24 19:16:40,420|'u'|release
32|2021-11-24 19:16:40,508|'x'|release
33|2021-11-24 19:16:40,598|Key.space|press
34|2021-11-24 19:16:40,700|Key.space|release
35|2021-11-24 19:16:40,760|'w'|press
36|2021-11-24 19:16:40,832|'w'|release
37|2021-11-24 19:16:40,861|'h'|press
38|2021-11-24 19:16:40,953|'h'|release
39|2021-11-24 19:16:41,053|'i'|press
40|2021-11-24 19:16:41,134|'i'|release
41|2021-11-24 19:16:41,194|'s'|press
42|2021-11-24 19:16:41,265|'s'|release
43|2021-11-24 19:16:41,306|'k'|press
44|2021-11-24 19:16:41,408|'k'|release
45|2021-11-24 19:16:41,913|'y'|press
46|2021-11-24 19:16:42,004|'y'|release
47|2021-11-24 19:16:42,166|Key.space|press
48|2021-11-24 19:16:42,256|Key.space|release
49|2021-11-24 19:16:42,307|'a'|press
50|2021-11-24 19:16:42,379|'a'|release
