|Timestamp|Key|Action
0|2021-11-24 19:59:32,177|Key.enter|release
1|2021-11-24 19:59:33,023|Key.shift_r|press
2|2021-11-24 19:59:33,109|'P'|press
3|2021-11-24 19:59:33,229|Key.shift_r|release
4|2021-11-24 19:59:33,256|'p'|release
5|2021-11-24 19:59:33,331|'o'|press
6|2021-11-24 19:59:33,422|'o'|release
7|2021-11-24 19:59:33,531|'r'|press
8|2021-11-24 19:59:33,645|'r'|release
9|2021-11-24 19:59:33,710|'t'|press
10|2021-11-24 19:59:33,811|'t'|release
11|2021-11-24 19:59:33,998|'e'|press
12|2021-11-24 19:59:34,108|'z'|press
13|2021-11-24 19:59:34,154|'e'|release
14|2021-11-24 19:59:34,237|'z'|release
15|2021-11-24 19:59:34,750|Key.space|press
16|2021-11-24 19:59:34,840|Key.space|release
17|2021-11-24 19:59:34,870|'c'|press
18|2021-11-24 19:59:34,949|'e'|press
19|2021-11-24 19:59:34,993|'c'|release
20|2021-11-24 19:59:35,035|Key.space|press
21|2021-11-24 19:59:35,058|'e'|release
22|2021-11-24 19:59:35,154|Key.space|release
23|2021-11-24 19:59:35,173|'v'|press
24|2021-11-24 19:59:35,276|'i'|press
25|2021-11-24 19:59:35,285|'v'|release
26|2021-11-24 19:59:35,370|'e'|press
27|2021-11-24 19:59:35,381|'i'|release
28|2021-11-24 19:59:35,476|'e'|release
29|2021-11-24 19:59:35,497|'u'|press
30|2021-11-24 19:59:35,593|'u'|release
31|2021-11-24 19:59:35,636|'x'|press
32|2021-11-24 19:59:35,747|'x'|release
33|2021-11-24 19:59:36,331|Key.space|press
34|2021-11-24 19:59:36,438|Key.space|release
35|2021-11-24 19:59:36,971|'w'|press
36|2021-11-24 19:59:37,085|'w'|release
37|2021-11-24 19:59:37,133|'h'|press
38|2021-11-24 19:59:37,233|'h'|release
39|2021-11-24 19:59:37,306|'i'|press
40|2021-11-24 19:59:37,396|'i'|release
41|2021-11-24 19:59:37,609|'s'|press
42|2021-11-24 19:59:37,710|'s'|release
43|2021-11-24 19:59:37,725|'k'|press
44|2021-11-24 19:59:37,811|'k'|release
45|2021-11-24 19:59:37,915|'y'|press
46|2021-11-24 19:59:37,998|'y'|release
47|2021-11-24 19:59:38,913|Key.space|press
48|2021-11-24 19:59:39,027|Key.space|release
49|2021-11-24 19:59:39,328|'a'|press
50|2021-11-24 19:59:39,428|'u'|press
51|2021-11-24 19:59:39,436|'a'|release
52|2021-11-24 19:59:39,524|'u'|release
53|2021-11-24 19:59:39,553|Key.space|press
