|Timestamp|Key|Action
0|2021-11-24 20:07:42,686|Key.enter|release
1|2021-11-24 20:07:53,103|Key.shift_r|press
2|2021-11-24 20:07:53,215|'C'|press
3|2021-11-24 20:07:53,316|Key.shift_r|release
4|2021-11-24 20:07:53,334|'c'|release
5|2021-11-24 20:07:53,850|'h'|press
6|2021-11-24 20:07:53,927|'h'|release
7|2021-11-24 20:07:54,422|'a'|press
8|2021-11-24 20:07:54,540|'p'|press
9|2021-11-24 20:07:54,548|'a'|release
10|2021-11-24 20:07:54,634|'p'|release
11|2021-11-24 20:07:54,799|'t'|press
12|2021-11-24 20:07:54,880|'t'|release
13|2021-11-24 20:07:54,916|'e'|press
14|2021-11-24 20:07:54,998|'r'|press
15|2021-11-24 20:07:55,062|'e'|release
16|2021-11-24 20:07:55,126|'r'|release
17|2021-11-24 20:07:55,188|Key.space|press
18|2021-11-24 20:07:55,288|Key.space|release
19|2021-11-24 20:07:55,365|Key.shift_r|press
20|2021-11-24 20:07:55,493|'1'|press
21|2021-11-24 20:07:55,600|'1'|release
22|2021-11-24 20:07:55,652|'1'|press
23|2021-11-24 20:07:55,753|'1'|release
24|2021-11-24 20:07:55,761|Key.shift_r|release
25|2021-11-24 20:07:55,963|Key.enter|press
26|2021-11-24 20:07:56,040|Key.enter|release
27|2021-11-24 20:07:56,081|Key.enter|press
28|2021-11-24 20:07:56,166|Key.enter|release
29|2021-11-24 20:07:57,059|'|press
30|2021-11-24 20:07:57,159|'|release
31|2021-11-24 20:07:57,214|Key.shift_r|press
32|2021-11-24 20:07:57,384|'W'|press
33|2021-11-24 20:07:57,485|'W'|release
34|2021-11-24 20:07:57,509|Key.shift_r|release
35|2021-11-24 20:07:57,587|'e'|press
36|2021-11-24 20:07:57,692|'e'|release
37|2021-11-24 20:07:58,034|Key.space|press
38|2021-11-24 20:07:58,118|'c'|press
39|2021-11-24 20:07:58,144|Key.space|release
40|2021-11-24 20:07:58,211|'a'|press
41|2021-11-24 20:07:58,226|'c'|release
42|2021-11-24 20:07:58,337|'a'|release
43|2021-11-24 20:07:58,357|'n'|press
44|2021-11-24 20:07:58,447|Key.space|press
45|2021-11-24 20:07:58,485|'n'|release
46|2021-11-24 20:07:58,550|Key.space|release
47|2021-11-24 20:07:59,031|'c'|press
48|2021-11-24 20:07:59,130|'o'|press
49|2021-11-24 20:07:59,150|'c'|release
50|2021-11-24 20:07:59,212|'m'|press
51|2021-11-24 20:07:59,260|'o'|release
52|2021-11-24 20:07:59,349|'m'|release
53|2021-11-24 20:07:59,383|'e'|press
54|2021-11-24 20:07:59,489|'e'|release
55|2021-11-24 20:07:59,541|Key.space|press
56|2021-11-24 20:07:59,650|Key.space|release
57|2021-11-24 20:07:59,998|'h'|press
58|2021-11-24 20:08:00,091|'h'|release
59|2021-11-24 20:08:00,096|'e'|press
60|2021-11-24 20:08:00,179|'r'|press
61|2021-11-24 20:08:00,211|'e'|release
62|2021-11-24 20:08:00,294|'r'|release
63|2021-11-24 20:08:00,308|'e'|press
64|2021-11-24 20:08:00,418|'e'|release
65|2021-11-24 20:08:00,603|Key.space|press
66|2021-11-24 20:08:00,713|Key.space|release
67|2021-11-24 20:08:00,858|'o'|press
68|2021-11-24 20:08:00,948|'n'|press
69|2021-11-24 20:08:01,005|'o'|release
70|2021-11-24 20:08:01,070|'n'|release
71|2021-11-24 20:08:01,105|'c'|press
72|2021-11-24 20:08:01,173|'e'|press
73|2021-11-24 20:08:01,232|'c'|release
74|2021-11-24 20:08:01,302|'e'|release
75|2021-11-24 20:08:01,319|Key.space|press
76|2021-11-24 20:08:01,425|Key.space|release
77|2021-11-24 20:08:01,560|'a'|press
78|2021-11-24 20:08:01,674|'a'|release
79|2021-11-24 20:08:01,806|'g'|press
80|2021-11-24 20:08:01,910|'g'|release
81|2021-11-24 20:08:01,964|'a'|press
82|2021-11-24 20:08:02,062|'i'|press
83|2021-11-24 20:08:02,075|'a'|release
84|2021-11-24 20:08:02,135|'n'|press
85|2021-11-24 20:08:02,210|'i'|release
86|2021-11-24 20:08:02,256|'n'|release
87|2021-11-24 20:08:03,068|','|press
88|2021-11-24 20:08:03,172|','|release
89|2021-11-24 20:08:03,186|'|press
90|2021-11-24 20:08:03,296|'|release
91|2021-11-24 20:08:03,315|Key.space|press
92|2021-11-24 20:08:03,426|Key.space|release
93|2021-11-24 20:08:03,876|'s'|press
94|2021-11-24 20:08:03,980|'a'|press
95|2021-11-24 20:08:03,994|'s'|release
96|2021-11-24 20:08:04,097|'a'|release
97|2021-11-24 20:08:04,104|'i'|press
98|2021-11-24 20:08:04,201|'i'|release
99|2021-11-24 20:08:04,288|'d'|press
100|2021-11-24 20:08:04,410|'d'|release
101|2021-11-24 20:08:04,770|Key.space|press
102|2021-11-24 20:08:04,872|Key.space|release
103|2021-11-24 20:08:04,879|Key.shift_r|press
104|2021-11-24 20:08:05,108|'J'|press
105|2021-11-24 20:08:05,207|'J'|release
106|2021-11-24 20:08:05,217|Key.shift_r|release
107|2021-11-24 20:08:05,409|'u'|press
108|2021-11-24 20:08:05,499|'u'|release
109|2021-11-24 20:08:05,517|'i'|press
110|2021-11-24 20:08:05,607|'i'|release
111|2021-11-24 20:08:05,716|'l'|press
112|2021-11-24 20:08:05,805|'l'|release
113|2021-11-24 20:08:05,822|'a'|press
114|2021-11-24 20:08:05,938|'a'|release
115|2021-11-24 20:08:06,401|Key.backspace|press
116|2021-11-24 20:08:06,484|Key.backspace|release
117|2021-11-24 20:08:06,517|Key.backspace|press
118|2021-11-24 20:08:06,612|Key.backspace|release
119|2021-11-24 20:08:06,645|Key.backspace|press
120|2021-11-24 20:08:06,745|Key.backspace|release
121|2021-11-24 20:08:07,289|'l'|press
122|2021-11-24 20:08:07,378|'i'|press
123|2021-11-24 20:08:07,387|'l'|release
124|2021-11-24 20:08:07,472|'i'|release
125|2021-11-24 20:08:07,484|'a'|press
126|2021-11-24 20:08:07,592|'a'|release
127|2021-11-24 20:08:08,154|Key.shift_r|press
128|2021-11-24 20:08:08,227|'.'|press
129|2021-11-24 20:08:08,351|Key.shift_r|release
130|2021-11-24 20:08:08,359|';'|release
131|2021-11-24 20:08:08,613|Key.space|press
132|2021-11-24 20:08:08,709|Key.space|release
133|2021-11-24 20:08:08,800|Key.shift_r|press
134|2021-11-24 20:08:09,007|Key.shift_r|release
135|2021-11-24 20:08:09,224|'|press
136|2021-11-24 20:08:09,327|'|release
137|2021-11-24 20:08:09,543|'i'|press
138|2021-11-24 20:08:09,624|'i'|release
139|2021-11-24 20:08:09,870|Key.backspace|press
140|2021-11-24 20:08:09,945|Key.backspace|release
141|2021-11-24 20:08:10,063|Key.shift_r|press
142|2021-11-24 20:08:10,179|'T'|press
143|2021-11-24 20:08:10,281|'T'|release
144|2021-11-24 20:08:10,562|Key.shift_r|release
145|2021-11-24 20:08:10,678|Key.backspace|press
146|2021-11-24 20:08:10,768|Key.backspace|release
147|2021-11-24 20:08:10,875|Key.shift_r|press
148|2021-11-24 20:08:11,010|'I'|press
149|2021-11-24 20:08:11,095|Key.shift_r|release
150|2021-11-24 20:08:11,122|'i'|release
151|2021-11-24 20:08:11,314|'t'|press
152|2021-11-24 20:08:11,407|'t'|release
153|2021-11-24 20:08:11,635|'|press
154|2021-11-24 20:08:11,726|'|release
155|2021-11-24 20:08:11,767|'s'|press
156|2021-11-24 20:08:11,873|'s'|release
157|2021-11-24 20:08:12,502|'|press
158|2021-11-24 20:08:12,605|'|release
159|2021-11-24 20:08:13,079|Key.backspace|press
160|2021-11-24 20:08:13,155|Key.backspace|release
161|2021-11-24 20:08:13,970|Key.space|press
162|2021-11-24 20:08:14,075|Key.space|release
163|2021-11-24 20:08:14,171|'g'|press
164|2021-11-24 20:08:14,267|'g'|release
165|2021-11-24 20:08:14,313|'e'|press
166|2021-11-24 20:08:14,433|'e'|release
167|2021-11-24 20:08:14,463|'n'|press
168|2021-11-24 20:08:14,551|'n'|release
169|2021-11-24 20:08:14,738|'r'|press
170|2021-11-24 20:08:14,825|'a'|press
171|2021-11-24 20:08:14,846|'r'|release
172|2021-11-24 20:08:14,938|'a'|release
173|2021-11-24 20:08:14,972|'l'|press
174|2021-11-24 20:08:15,058|'l'|release
175|2021-11-24 20:08:15,110|'l'|press
176|2021-11-24 20:08:15,200|'l'|release
177|2021-11-24 20:08:15,359|Key.backspace|press
178|2021-11-24 20:08:15,436|Key.backspace|release
179|2021-11-24 20:08:15,472|Key.backspace|press
180|2021-11-24 20:08:15,569|Key.backspace|release
181|2021-11-24 20:08:15,605|Key.backspace|press
182|2021-11-24 20:08:15,699|Key.backspace|release
183|2021-11-24 20:08:15,726|Key.backspace|press
184|2021-11-24 20:08:15,819|Key.backspace|release
185|2021-11-24 20:08:16,132|'e'|press
186|2021-11-24 20:08:16,240|'r'|press
187|2021-11-24 20:08:16,251|'e'|release
188|2021-11-24 20:08:16,358|'r'|release
189|2021-11-24 20:08:16,363|'a'|press
190|2021-11-24 20:08:16,486|'a'|release
191|2021-11-24 20:08:16,502|'l'|press
192|2021-11-24 20:08:16,576|'l'|release
193|2021-11-24 20:08:16,619|'l'|press
194|2021-11-24 20:08:16,716|'l'|release
195|2021-11-24 20:08:16,826|'y'|press
196|2021-11-24 20:08:16,931|'y'|release
197|2021-11-24 20:08:17,346|Key.space|press
198|2021-11-24 20:08:17,457|Key.space|release
199|2021-11-24 20:08:17,471|'s'|press
200|2021-11-24 20:08:17,557|'a'|press
201|2021-11-24 20:08:17,621|'s'|release
202|2021-11-24 20:08:17,671|'a'|release
203|2021-11-24 20:08:17,739|'f'|press
204|2021-11-24 20:08:17,830|'e'|press
205|2021-11-24 20:08:17,883|'f'|release
206|2021-11-24 20:08:17,967|'e'|release
207|2021-11-24 20:08:18,319|Key.space|press
208|2021-11-24 20:08:18,432|Key.space|release
209|2021-11-24 20:08:18,654|'t'|press
210|2021-11-24 20:08:18,729|'o'|press
211|2021-11-24 20:08:18,770|'t'|release
212|2021-11-24 20:08:18,792|Key.space|press
213|2021-11-24 20:08:18,848|'o'|release
214|2021-11-24 20:08:18,901|Key.space|release
215|2021-11-24 20:08:19,586|'u'|press
216|2021-11-24 20:08:19,677|'u'|release
217|2021-11-24 20:08:19,711|'s'|press
218|2021-11-24 20:08:19,810|'s'|release
219|2021-11-24 20:08:19,849|'e'|press
220|2021-11-24 20:08:19,948|'e'|release
221|2021-11-24 20:08:19,957|Key.space|press
222|2021-11-24 20:08:20,048|Key.space|release
223|2021-11-24 20:08:20,066|'a'|press
224|2021-11-24 20:08:20,179|'a'|release
225|2021-11-24 20:08:20,184|'n'|press
226|2021-11-24 20:08:20,277|'n'|release
227|2021-11-24 20:08:20,371|'y'|press
228|2021-11-24 20:08:20,454|'y'|release
229|2021-11-24 20:08:21,348|Key.space|press
230|2021-11-24 20:08:21,445|Key.space|release
231|2021-11-24 20:08:22,387|'h'|press
232|2021-11-24 20:08:22,487|'h'|release
233|2021-11-24 20:08:22,512|'i'|press
234|2021-11-24 20:08:22,606|'i'|release
235|2021-11-24 20:08:22,692|'d'|press
236|2021-11-24 20:08:22,795|'e'|press
237|2021-11-24 20:08:22,878|'d'|release
238|2021-11-24 20:08:22,926|'e'|release
239|2021-11-24 20:08:23,481|'-'|press
240|2021-11-24 20:08:23,581|'-'|release
241|2021-11-24 20:08:23,689|'o'|press
242|2021-11-24 20:08:23,767|'u'|press
243|2021-11-24 20:08:23,832|'o'|release
244|2021-11-24 20:08:23,880|'u'|release
245|2021-11-24 20:08:23,918|'t'|press
246|2021-11-24 20:08:24,040|'t'|release
247|2021-11-24 20:08:24,355|Key.space|press
248|2021-11-24 20:08:24,460|Key.space|release
249|2021-11-24 20:08:24,521|'t'|press
250|2021-11-24 20:08:24,619|'t'|release
251|2021-11-24 20:08:24,931|'w'|press
252|2021-11-24 20:08:25,055|'w'|release
253|2021-11-24 20:08:25,114|'i'|press
254|2021-11-24 20:08:25,208|'i'|release
255|2021-11-24 20:08:25,282|'c'|press
256|2021-11-24 20:08:25,355|'e'|press
257|2021-11-24 20:08:25,408|'c'|release
258|2021-11-24 20:08:25,421|Key.space|press
259|2021-11-24 20:08:25,474|'e'|release
260|2021-11-24 20:08:25,506|Key.space|release
261|2021-11-24 20:08:26,045|Key.backspace|press
262|2021-11-24 20:08:26,132|Key.backspace|release
263|2021-11-24 20:08:26,348|Key.shift_r|press
264|2021-11-24 20:08:26,404|'.'|press
265|2021-11-24 20:08:26,522|Key.shift_r|release
266|2021-11-24 20:08:26,530|';'|release
267|2021-11-24 20:08:26,606|Key.space|press
268|2021-11-24 20:08:26,701|Key.space|release
269|2021-11-24 20:08:26,788|Key.shift_r|press
270|2021-11-24 20:08:27,040|'B'|press
271|2021-11-24 20:08:27,099|Key.shift_r|release
272|2021-11-24 20:08:27,150|'b'|release
273|2021-11-24 20:08:27,189|'u'|press
274|2021-11-24 20:08:27,289|'t'|press
275|2021-11-24 20:08:27,298|'u'|release
276|2021-11-24 20:08:27,381|Key.space|press
277|2021-11-24 20:08:27,391|'t'|release
278|2021-11-24 20:08:27,471|Key.space|release
279|2021-11-24 20:08:27,864|'n'|press
280|2021-11-24 20:08:27,960|'n'|release
281|2021-11-24 20:08:27,998|'o'|press
282|2021-11-24 20:08:28,095|'o'|release
283|2021-11-24 20:08:28,146|'t'|press
284|2021-11-24 20:08:28,219|Key.space|press
285|2021-11-24 20:08:28,250|'t'|release
286|2021-11-24 20:08:28,310|Key.space|release
287|2021-11-24 20:08:28,788|'f'|press
288|2021-11-24 20:08:28,866|'o'|press
289|2021-11-24 20:08:28,890|'f'|release
290|2021-11-24 20:08:28,953|'o'|release
291|2021-11-24 20:08:28,959|'r'|press
292|2021-11-24 20:08:29,064|'r'|release
293|2021-11-24 20:08:29,078|Key.space|press
