|Timestamp|Key|Action|Shift
0|2021-11-24 19:16:32.637|Key.enter|release|0
1|2021-11-24 19:16:37.882|Key.shift|press|1
2|2021-11-24 19:16:37.975|'P'|press|1
3|2021-11-24 19:16:38.077|'P'|release|1
4|2021-11-24 19:16:38.108|Key.shift|release|0
5|2021-11-24 19:16:38.718|'o'|press|0
6|2021-11-24 19:16:38.822|'o'|release|0
7|2021-11-24 19:16:38.842|'r'|press|0
8|2021-11-24 19:16:38.913|'r'|release|0
9|2021-11-24 19:16:39.002|'t'|press|0
10|2021-11-24 19:16:39.104|'t'|release|0
11|2021-11-24 19:16:39.367|'e'|press|0
12|2021-11-24 19:16:39.457|'z'|press|0
13|2021-11-24 19:16:39.488|'e'|release|0
14|2021-11-24 19:16:39.528|'z'|release|0
15|2021-11-24 19:16:39.659|Key.space|press|0
16|2021-11-24 19:16:39.750|Key.space|release|0
17|2021-11-24 19:16:39.781|'c'|press|0
18|2021-11-24 19:16:39.852|'e'|press|0
19|2021-11-24 19:16:39.882|'c'|release|0
20|2021-11-24 19:16:39.886|Key.space|press|0
21|2021-11-24 19:16:39.903|'e'|release|0
22|2021-11-24 19:16:39.993|Key.space|release|0
23|2021-11-24 19:16:40.033|'v'|press|0
24|2021-11-24 19:16:40.114|'v'|release|0
25|2021-11-24 19:16:40.143|'i'|press|0
26|2021-11-24 19:16:40.214|'e'|press|0
27|2021-11-24 19:16:40.235|'i'|release|0
28|2021-11-24 19:16:40.317|'e'|release|0
29|2021-11-24 19:16:40.320|'u'|press|0
30|2021-11-24 19:16:40.417|'x'|press|0
31|2021-11-24 19:16:40.420|'u'|release|0
32|2021-11-24 19:16:40.508|'x'|release|0
33|2021-11-24 19:16:40.598|Key.space|press|0
34|2021-11-24 19:16:40.700|Key.space|release|0
35|2021-11-24 19:16:40.760|'w'|press|0
36|2021-11-24 19:16:40.832|'w'|release|0
37|2021-11-24 19:16:40.861|'h'|press|0
38|2021-11-24 19:16:40.953|'h'|release|0
39|2021-11-24 19:16:41.053|'i'|press|0
40|2021-11-24 19:16:41.134|'i'|release|0
41|2021-11-24 19:16:41.194|'s'|press|0
42|2021-11-24 19:16:41.265|'s'|release|0
43|2021-11-24 19:16:41.306|'k'|press|0
44|2021-11-24 19:16:41.408|'k'|release|0
45|2021-11-24 19:16:41.913|'y'|press|0
46|2021-11-24 19:16:42.004|'y'|release|0
47|2021-11-24 19:16:42.166|Key.space|press|0
48|2021-11-24 19:16:42.256|Key.space|release|0
49|2021-11-24 19:16:42.307|'a'|press|0
50|2021-11-24 19:16:42.379|'a'|release|0
51|2021-11-24 19:16:42.381|'u'|press|0
52|2021-11-24 19:16:42.469|'u'|release|0
53|2021-11-24 19:16:42.549|Key.space|press|0
54|2021-11-24 19:16:42.630|Key.space|release|0
55|2021-11-24 19:16:42.731|'j'|press|0
56|2021-11-24 19:16:42.803|'j'|release|0
57|2021-11-24 19:16:42.903|'u'|press|0
58|2021-11-24 19:16:42.984|'u'|release|0
59|2021-11-24 19:16:43.064|'g'|press|0
60|2021-11-24 19:16:43.115|'e'|press|0
61|2021-11-24 19:16:43.166|'g'|release|0
62|2021-11-24 19:16:43.206|'e'|release|0
