|Timestamp|Key|Action|Shift
0|2021-11-25 09:37:02.691|Key.shift_r|press|0
1|2021-11-25 09:37:03.203|'P'|press|0
2|2021-11-25 09:37:03.277|'P'|release|0
3|2021-11-25 09:37:03.281|Key.shift_r|release|0
4|2021-11-25 09:37:03.386|'o'|press|0
5|2021-11-25 09:37:03.455|'o'|release|0
6|2021-11-25 09:37:03.479|'r'|press|0
7|2021-11-25 09:37:03.579|'t'|press|0
8|2021-11-25 09:37:03.582|'r'|release|0
9|2021-11-25 09:37:03.680|'t'|release|0
10|2021-11-25 09:37:03.812|'e'|press|0
11|2021-11-25 09:37:03.908|'z'|press|0
12|2021-11-25 09:37:03.943|'e'|release|0
13|2021-11-25 09:37:04.031|'z'|release|0
14|2021-11-25 09:37:04.043|Key.space|press|0
15|2021-11-25 09:37:04.124|Key.space|release|0
16|2021-11-25 09:37:04.184|'c'|press|0
17|2021-11-25 09:37:04.297|'e'|press|0
18|2021-11-25 09:37:04.309|'c'|release|0
19|2021-11-25 09:37:04.372|Key.space|press|0
20|2021-11-25 09:37:04.393|'e'|release|0
21|2021-11-25 09:37:04.448|Key.space|release|0
22|2021-11-25 09:37:04.465|'v'|press|0
23|2021-11-25 09:37:04.570|'v'|release|0
24|2021-11-25 09:37:04.577|'i'|press|0
25|2021-11-25 09:37:04.653|'i'|release|0
26|2021-11-25 09:37:04.665|'e'|press|0
27|2021-11-25 09:37:04.718|'e'|release|0
28|2021-11-25 09:37:04.763|'u'|press|0
29|2021-11-25 09:37:04.848|'u'|release|0
30|2021-11-25 09:37:04.972|'x'|press|0
31|2021-11-25 09:37:05.033|'x'|release|0
32|2021-11-25 09:37:05.086|Key.space|press|0
33|2021-11-25 09:37:05.151|Key.space|release|0
34|2021-11-25 09:37:05.739|'w'|press|0
35|2021-11-25 09:37:05.807|'w'|release|0
36|2021-11-25 09:37:05.855|'h'|press|0
37|2021-11-25 09:37:05.919|'h'|release|0
38|2021-11-25 09:37:06.023|'i'|press|0
39|2021-11-25 09:37:06.103|'i'|release|0
40|2021-11-25 09:37:06.116|'s'|press|0
41|2021-11-25 09:37:06.165|'s'|release|0
42|2021-11-25 09:37:06.226|'k'|press|0
