;Timestamp;Key;Action;Shift
0;2021-11-10 09:57:34.370;Key.enter;release;0
1;2021-11-10 09:57:38.291;Key.shift;press;1
2;2021-11-10 09:57:38.518;'P';press;1
3;2021-11-10 09:57:38.612;'P';release;1
4;2021-11-10 09:57:38.642;Key.shift;release;0
5;2021-11-10 09:57:38.763;'o';press;0
6;2021-11-10 09:57:38.855;'o';release;0
7;2021-11-10 09:57:38.857;'r';press;0
8;2021-11-10 09:57:38.944;'r';release;0
9;2021-11-10 09:57:39.027;'t';press;0
10;2021-11-10 09:57:39.119;'t';release;0
11;2021-11-10 09:57:39.656;'e';press;0
12;2021-11-10 09:57:39.746;'z';press;0
13;2021-11-10 09:57:39.836;'e';release;0
14;2021-11-10 09:57:39.868;'z';release;0
15;2021-11-10 09:57:39.931;Key.space;press;0
16;2021-11-10 09:57:40.049;Key.space;release;0
17;2021-11-10 09:57:40.449;'c';press;0
18;2021-11-10 09:57:40.538;'e';press;0
19;2021-11-10 09:57:40.598;'c';release;0
20;2021-11-10 09:57:40.631;'e';release;0
21;2021-11-10 09:57:40.632;Key.space;press;0
22;2021-11-10 09:57:40.723;Key.space;release;0
23;2021-11-10 09:57:40.753;'v';press;0
24;2021-11-10 09:57:40.812;'i';press;0
25;2021-11-10 09:57:40.845;'v';release;0
26;2021-11-10 09:57:40.875;'i';release;0
27;2021-11-10 09:57:40.876;'e';press;0
28;2021-11-10 09:57:40.966;'e';release;0
29;2021-11-10 09:57:40.968;'u';press;0
30;2021-11-10 09:57:41.060;'u';release;0
31;2021-11-10 09:57:41.062;'x';press;0
32;2021-11-10 09:57:41.153;'x';release;0
33;2021-11-10 09:57:41.184;Key.space;press;0
34;2021-11-10 09:57:41.271;Key.space;release;0
35;2021-11-10 09:57:42.186;'w';press;0
36;2021-11-10 09:57:42.277;'w';release;0
37;2021-11-10 09:57:42.326;'h';press;0
38;2021-11-10 09:57:42.419;'i';press;0
39;2021-11-10 09:57:42.479;'h';release;0
40;2021-11-10 09:57:42.516;'i';release;0
41;2021-11-10 09:57:42.545;'s';press;0
42;2021-11-10 09:57:42.638;'s';release;0
43;2021-11-10 09:57:43.619;'k';press;0
44;2021-11-10 09:57:43.741;'k';release;0
45;2021-11-10 09:57:43.814;'y';press;0
46;2021-11-10 09:57:43.902;Key.space;press;0
47;2021-11-10 09:57:43.933;'y';release;0
48;2021-11-10 09:57:43.997;Key.space;release;0
49;2021-11-10 09:57:44.590;'a';press;0
50;2021-11-10 09:57:44.653;'u';press;0
51;2021-11-10 09:57:44.685;'a';release;0
52;2021-11-10 09:57:44.742;Key.space;press;0
53;2021-11-10 09:57:44.776;'u';release;0
54;2021-11-10 09:57:44.806;Key.space;release;0
55;2021-11-10 09:57:44.869;'j';press;0
56;2021-11-10 09:57:44.958;'j';release;0
57;2021-11-10 09:57:45.013;'u';press;0
58;2021-11-10 09:57:45.104;'u';release;0
59;2021-11-10 09:57:45.167;'g';press;0
60;2021-11-10 09:57:45.262;'g';release;0
61;2021-11-10 09:57:45.291;'e';press;0
62;2021-11-10 09:57:45.355;Key.space;press;0
63;2021-11-10 09:57:45.386;'e';release;0
64;2021-11-10 09:57:45.445;Key.space;release;0
65;2021-11-10 09:57:45.520;'b';press;0
66;2021-11-10 09:57:45.642;'l';press;0
67;2021-11-10 09:57:45.673;'b';release;0
68;2021-11-10 09:57:45.704;'l';release;0
69;2021-11-10 09:57:45.788;'o';press;0
70;2021-11-10 09:57:45.849;'n';press;0
71;2021-11-10 09:57:45.909;'o';release;0
72;2021-11-10 09:57:45.972;'n';release;0
73;2021-11-10 09:57:45.974;'d';press;0
74;2021-11-10 09:57:46.032;'d';release;0
75;2021-11-10 09:57:46.458;Key.space;press;0
76;2021-11-10 09:57:46.549;Key.space;release;0
77;2021-11-10 09:57:46.582;'q';press;0
78;2021-11-10 09:57:46.640;'u';press;0
79;2021-11-10 09:57:46.672;'q';release;0
80;2021-11-10 09:57:46.706;'i';press;0
81;2021-11-10 09:57:46.767;'u';release;0
82;2021-11-10 09:57:46.827;'i';release;0
83;2021-11-10 09:57:46.829;Key.space;press;0
84;2021-11-10 09:57:46.855;'f';press;0
85;2021-11-10 09:57:46.888;Key.space;release;0
86;2021-11-10 09:57:46.951;'f';release;0
87;2021-11-10 09:57:47.014;'u';press;0
88;2021-11-10 09:57:47.100;'u';release;0
89;2021-11-10 09:57:47.188;'m';press;0
90;2021-11-10 09:57:47.280;'m';release;0
91;2021-11-10 09:57:47.282;'e';press;0
92;2021-11-10 09:57:47.341;'e';release;0
93;2021-11-10 09:57:47.457;Key.shift;press;1
94;2021-11-10 09:57:47.581;'.';press;1
95;2021-11-10 09:57:47.668;'.';release;1
96;2021-11-10 09:57:47.760;Key.shift;release;0
97;2021-11-10 09:57:48.696;Key.enter;press;0
98;2021-11-10 09:57:48.789;Key.enter;release;0
99;2021-11-10 09:57:49.122;Key.shift;press;1
100;2021-11-10 09:57:49.305;'K';press;1
101;2021-11-10 09:57:49.367;'K';release;1
102;2021-11-10 09:57:49.570;Key.shift;release;0
103;2021-11-10 09:57:49.625;Key.backspace;press;0
104;2021-11-10 09:57:49.717;Key.backspace;release;0
105;2021-11-10 09:57:49.766;Key.shift;press;1
106;2021-11-10 09:57:49.863;'J';press;1
107;2021-11-10 09:57:49.924;'J';release;1
108;2021-11-10 09:57:49.985;Key.shift;release;0
109;2021-11-10 09:57:50.385;'o';press;0
110;2021-11-10 09:57:50.477;'o';release;0
111;2021-11-10 09:57:50.521;'e';press;0
112;2021-11-10 09:57:50.583;'y';press;0
113;2021-11-10 09:57:50.614;'e';release;0
114;2021-11-10 09:57:50.644;'y';release;0
115;2021-11-10 09:57:50.727;'u';press;0
116;2021-11-10 09:57:50.757;'x';press;0
117;2021-11-10 09:57:50.822;'u';release;0
118;2021-11-10 09:57:50.852;'x';release;0
119;2021-11-10 09:57:51.190;Key.backspace;press;0
120;2021-11-10 09:57:51.283;Key.backspace;release;0
121;2021-11-10 09:57:51.345;Key.backspace;press;0
122;2021-11-10 09:57:51.404;Key.backspace;release;0
123;2021-11-10 09:57:51.469;Key.backspace;press;0
124;2021-11-10 09:57:51.561;Key.backspace;release;0
125;2021-11-10 09:57:51.618;Key.backspace;press;0
126;2021-11-10 09:57:51.713;Key.backspace;release;0
127;2021-11-10 09:57:51.920;'y';press;0
128;2021-11-10 09:57:52.013;'y';release;0
129;2021-11-10 09:57:52.015;'e';press;0
130;2021-11-10 09:57:52.104;'e';release;0
131;2021-11-10 09:57:52.106;'u';press;0
132;2021-11-10 09:57:52.164;'u';release;0
133;2021-11-10 09:57:52.194;'x';press;0
134;2021-11-10 09:57:52.287;'x';release;0
135;2021-11-10 09:57:52.315;',';press;0
136;2021-11-10 09:57:52.406;Key.space;press;0
137;2021-11-10 09:57:52.466;',';release;0
138;2021-11-10 09:57:52.499;Key.space;release;0
139;2021-11-10 09:57:53.076;'i';press;0
140;2021-11-10 09:57:53.166;'i';release;0
141;2021-11-10 09:57:53.208;'v';press;0
142;2021-11-10 09:57:53.332;'r';press;0
143;2021-11-10 09:57:53.366;'v';release;0
144;2021-11-10 09:57:53.395;'e';press;0
145;2021-11-10 09:57:53.455;'r';release;0
146;2021-11-10 09:57:53.521;'e';release;0
147;2021-11-10 09:57:53.523;',';press;0
148;2021-11-10 09:57:53.580;Key.space;press;0
149;2021-11-10 09:57:53.642;',';release;0
150;2021-11-10 09:57:53.703;Key.space;release;0
151;2021-11-10 09:57:53.765;'d';press;0
152;2021-11-10 09:57:53.824;'a';press;0
153;2021-11-10 09:57:53.887;'d';release;0
154;2021-11-10 09:57:53.979;'a';release;0
155;2021-11-10 09:57:54.046;'t';press;0
156;2021-11-10 09:57:54.141;'t';release;0
157;2021-11-10 09:57:54.964;Key.backspace;press;0
158;2021-11-10 09:57:55.026;Key.backspace;release;0
159;2021-11-10 09:57:55.104;Key.backspace;press;0
160;2021-11-10 09:57:55.167;Key.backspace;release;0
161;2021-11-10 09:57:55.234;Key.backspace;press;0
162;2021-11-10 09:57:55.329;Key.backspace;release;0
163;2021-11-10 09:57:55.704;'f';press;0
164;2021-11-10 09:57:55.767;'a';press;0
165;2021-11-10 09:57:55.827;'f';release;0
166;2021-11-10 09:57:55.887;'a';release;0
167;2021-11-10 09:57:55.940;'t';press;0
168;2021-11-10 09:57:56.031;'t';release;0
169;2021-11-10 09:57:56.034;'i';press;0
170;2021-11-10 09:57:56.095;'i';release;0
171;2021-11-10 09:57:56.096;'g';press;0
172;2021-11-10 09:57:56.191;'g';release;0
173;2021-11-10 09:57:56.193;'u';press;0
174;2021-11-10 09:57:56.282;'u';release;0
175;2021-11-10 09:57:56.311;'é';press;0
176;2021-11-10 09:57:56.404;'é';release;0
177;2021-11-10 09:57:57.179;',';press;0
178;2021-11-10 09:57:57.275;Key.space;press;0
179;2021-11-10 09:57:57.337;',';release;0
180;2021-11-10 09:57:57.366;Key.space;release;0
181;2021-11-10 09:57:57.439;'l';press;0
182;2021-11-10 09:57:57.533;'e';press;0
183;2021-11-10 09:57:57.564;'l';release;0
184;2021-11-10 09:57:57.594;'e';release;0
185;2021-11-10 09:57:57.631;Key.space;press;0
186;2021-11-10 09:57:57.724;Key.space;release;0
187;2021-11-10 09:57:57.766;'n';press;0
188;2021-11-10 09:57:57.854;'e';press;0
189;2021-11-10 09:57:57.884;'n';release;0
190;2021-11-10 09:57:57.973;'z';press;0
191;2021-11-10 09:57:58.038;'e';release;0
192;2021-11-10 09:57:58.066;'z';release;0
193;2021-11-10 09:57:58.105;Key.space;press;0
194;2021-11-10 09:57:58.195;Key.space;release;0
195;2021-11-10 09:57:58.197;'q';press;0
196;2021-11-10 09:57:58.294;'q';release;0
197;2021-11-10 09:57:58.296;'u';press;0
198;2021-11-10 09:57:58.351;'i';press;0
199;2021-11-10 09:57:58.381;'u';release;0
200;2021-11-10 09:57:58.442;Key.space;press;0
201;2021-11-10 09:57:58.474;'i';release;0
202;2021-11-10 09:57:58.532;Key.space;release;0
203;2021-11-10 09:57:58.534;'p';press;0
204;2021-11-10 09:57:58.654;'p';release;0
205;2021-11-10 09:57:58.656;'i';press;0
206;2021-11-10 09:57:58.748;'i';release;0
207;2021-11-10 09:57:58.749;'q';press;0
208;2021-11-10 09:57:58.869;'q';release;0
209;2021-11-10 09:57:58.871;'u';press;0
210;2021-11-10 09:57:58.961;'u';release;0
211;2021-11-10 09:57:58.963;'e';press;0
212;2021-11-10 09:57:59.018;'e';release;0
213;2021-11-10 09:57:59.106;',';press;0
214;2021-11-10 09:57:59.228;Key.space;press;0
215;2021-11-10 09:57:59.286;',';release;0
216;2021-11-10 09:57:59.318;Key.space;release;0
217;2021-11-10 09:57:59.511;'w';press;0
218;2021-11-10 09:57:59.662;'w';release;0
219;2021-11-10 09:57:59.813;Key.backspace;press;0
220;2021-11-10 09:57:59.905;Key.backspace;release;0
221;2021-11-10 09:57:59.907;Key.shift;press;1
222;2021-11-10 09:58:00.055;'C';press;1
223;2021-11-10 09:58:00.179;'C';release;1
224;2021-11-10 09:58:00.270;Key.shift;release;0
225;2021-11-10 09:58:00.702;'l';press;0
226;2021-11-10 09:58:00.798;'l';release;0
227;2021-11-10 09:58:00.870;'o';press;0
228;2021-11-10 09:58:00.964;'o';release;0
229;2021-11-10 09:58:00.994;'w';press;0
230;2021-11-10 09:58:01.052;'w';release;0
231;2021-11-10 09:58:01.109;'n';press;0
232;2021-11-10 09:58:01.204;Key.space;press;0
233;2021-11-10 09:58:01.263;'n';release;0
234;2021-11-10 09:58:01.296;Key.space;release;0
235;2021-11-10 09:58:01.578;Key.shift;press;1
236;2021-11-10 09:58:01.825;'F';press;1
237;2021-11-10 09:58:01.951;'F';release;1
238;2021-11-10 09:58:02.010;Key.shift;release;0
239;2021-11-10 09:58:02.100;Key.backspace;press;0
240;2021-11-10 09:58:02.188;Key.backspace;release;0
241;2021-11-10 09:58:02.214;Key.shift;press;1
242;2021-11-10 09:58:02.336;'H';press;1
