|Key|Shift|HD_mean|HD_std|DL_mean|DL_std
0|Key.shift|1|0.22008571428571427|0.1603593057442427|-0.14131428571428573|0.15590340808674202
1|'C'|1|0.0882|0.008704022058795575|0.2464|0.19905838339542495
2|'h'|0|0.08581249999999999|0.014138682532329524|0.19137500000000002|0.26179115602899955
3|Key.backspace|0|0.08766666666666664|0.013649257204046753|0.4852666666666666|0.31795040843223055
4|'H'|1|0.098|0.0|0.054|0.0
5|'A'|1|0.068|0.0|0.044|0.0
6|'P'|1|0.109|0.0|0.069|0.0
7|'I'|1|0.08580000000000002|0.01301383878799795|0.1664|0.18790806262638124
8|'T'|1|0.08566666666666667|0.007845734863959881|0.16066666666666668|0.1691278280538783
9|'R'|1|0.079|0.0|0.096|0.0
10|'E'|1|0.077|0.0010000000000000009|0.3155|0.2295
11|Key.space|0|0.09558|0.013705312838457938|0.10366800000000001|0.15560636804449873
12|Key.enter|0|0.095|0.010478549517943789|0.35050000000000003|0.1708515437448547
13|'o'|0|0.09136923076923077|0.014474985564780081|0.08181538461538461|0.05633796159926061
14|'m'|0|0.09859259259259259|0.017192287804278124|0.0612962962962963|0.08503542391036757
15|'e'|0|0.0946759776536313|0.01629052003585542|0.028620111731843572|0.09836257655748258
16|'n'|0|0.09463366336633665|0.017131825963310882|0.05281188118811882|0.15569154023395596
17|'t'|0|0.09090909090909091|0.012106193347017546|0.042204545454545446|0.0975712046627428
18|'a'|0|0.11127826086956523|0.018983080716710985|0.021330434782608695|0.12413125744035627
19|'d'|0|0.10335555555555558|0.01703741706500471|0.054511111111111114|0.06697914176890268
20|'i'|0|0.09165168539325842|0.013444936496100257|0.047438202247191016|0.10736705445938682
21|'f'|0|0.09636363636363637|0.01412459317047415|0.057636363636363624|0.05293610681716853
22|'u'|0|0.09220833333333332|0.013628949478550756|0.026916666666666665|0.07128498166592394
23|'é'|0|0.10147619047619047|0.012613745516844665|0.038571428571428576|0.10838273075785926
24|'l'|0|0.10515624999999999|0.018238197167963176|0.008890625000000001|0.07558379397800413
25|'v'|0|0.09323529411764707|0.015333659291455384|0.06582352941176471|0.08505032094839857
26|'s'|0|0.11138235294117647|0.01911576913853548|0.028960784313725497|0.13325384308688462
27|'b'|0|0.0905|0.008440971508067064|0.0531|0.050920428120745403
28|'c'|0|0.10353333333333332|0.018064206474560557|0.07629999999999998|0.10667712969516943
29|['^']|0|0.08944444444444444|0.005717635702341603|0.014|0.056717624147075214
30|','|0|0.1013157894736842|0.019857525768329984|0.037789473684210526|0.0738159724174485
31|'|0|0.09991666666666667|0.012079309674903702|0.056|0.10892658077806354
32|'.'|1|0.08199999999999999|0.01479301637034629|0.22909090909090912|0.1934835931712203
33|'y'|0|0.09266666666666667|0.0009428090415820641|0.18066666666666667|0.1548813165692435
34|'V'|1|0.085|0.0|0.106|0.0
35|'p'|0|0.10343749999999999|0.01804151029570418|0.0423125|0.0587927703357309
36|['¨']|1|0.076|0.0|0.162|0.0
37|'M'|1|0.09333333333333334|0.011556623882239811|0.26533333333333337|0.20324096262537455
38|'r'|0|0.10229230769230768|0.021198492745347634|0.05487692307692307|0.18776437834463686
39|'-'|0|0.09|0.015205262246998572|0.2202|0.0759220653038364
40|'k'|0|0.092|0.0|0.114|0.0
41|'j'|0|0.1102|0.017092688495377203|0.05|0.04619523784980439
42|'g'|0|0.09375000000000001|0.007063108380875944|0.12935000000000002|0.2485637292526808
43|'ç'|0|0.07366666666666667|0.005906681715556449|0.069|0.02438578821089584
44|'à'|0|0.11699999999999999|0.000999999999999994|0.052|0.037
45|'q'|0|0.0961764705882353|0.00862442014499353|0.01623529411764706|0.08453647274942036
46|'S'|1|0.11399999999999999|0.020704266871026042|0.18166666666666667|0.1893362675828966
47|'z'|0|0.136|0.0040000000000000036|-0.022|0.025
48|';'|0|0.07966666666666666|0.00801387685344754|0.438|0.18882266813070933
49|'L'|1|0.095|0.0|0.039|0.0
50|'x'|0|0.11249999999999999|0.0085|0.03899999999999999|0.079
51|'W'|1|0.098|0.0|0.137|0.0
52|'O'|1|0.081|0.0|0.06|0.0
53|'è'|0|0.083|0.0|-0.017|0.0
